SubjectID,BlockDesignScore,TotalTime,PathEfficiency,IdleRatio,Smoothness,RevisitRate
C008,34,352.999298,0.006842108305494788,0.0002563822406427854,45.21223221688776,0.0005539050304647767
C009,24,452.4935,0.004358070932188353,0.001921097630381801,37.90333287641461,0.0005644190246839254
C013,48,451.59256,0.006391196886127392,0.0,33.31928374397098,0.0003390060343074107
C016,39,198.272446,0.01655535539745251,0.00038902927350733754,245.94337784421,0.0006938421509106678
C017,36,403.606689,0.00794725394480082,0.13814729273404688,51.009999598896904,0.000574585635359116
C021,29,580.019897,0.0061928245713032655,0.09798384346843761,59.81623238295249,0.00037744157518950714
C024,42,200.094406,0.012586808806865708,0.0,90.9195510984389,0.0007653712050344417
C025,24,430.629974,0.008586847956649737,0.006450671425234466,45.44407277634612,0.00045682960255824577
C032,63,251.382736,0.009968083403458734,8.197415888451944e-05,182.69353055099435,0.0009225746930664963
C033,57,476.875946,0.00866566328357258,0.06489674362866539,48.45754938788569,0.0004110766471093838
C037,34,542.508423,0.007991988898646432,0.0,37.46917180994681,0.000340901343151292
C040,51,261.56543,0.00827868591430403,0.0015648057012594757,59.66619809707614,0.0006167340505721921
C041,30,324.162415,0.00898910355994437,0.0,53.62843424270213,0.0006002728512960436
